ocreval Accuracy Report Version 7.0
-----------------------------------
   30591   Characters
    9175   Errors
   70.01%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.01%  Accuracy After Correction

     Ins    Subst      Del   Errors
       2        0   {4.}-{ a}
       2        0   {4}-{ â}
       2        0   {6}-{ o}
       2        0   {6}-{ ç}
       2        0   {7}-{n}
       2        0   {:4}-{ a}
       2        0   {:A}-{ a}
       2        0   {:q}-{.g}
       2        0   {:}-{ â}
       2        0   {:}-{ ê}
       2        0   {:}-{«}
       2        0   {<\n>(}-{}
       2        0   {<\n>.}-{ }
       2        0   {<\n>J}-{ }
       2        0   {<\n>J}-{j}
       2        0   {<\n>K}-{k}
       2        0   {<\n>L}-{at}
       2        0   {<\n>L}-{ôt}
       2        0   {<\n>a}-{}
       2        0   {<\n>b}-{ l}
       2        0   {<\n>b}-{ p}
       2        0   {<\n>c}-{cé}
       2        0   {<\n>c}-{ç}
       2        0   {<\n>d}-{ â}
       2        0   {<\n>e}-{ é}
       2        0   {<\n>h}-{ l}
       2        0   {<\n>i}-{â}
       2        0   {<\n>k}-{kâ}
       2        0   {<\n>m}-{mâ}
       2        0   {<\n>r}-{ré}
       2        0   {<\n>r}-{}
       2        0   {<\n>s}-{sé}
       2        0   {<\n>t}-{ta}
       2        0   {<\n>t}-{tè}
       2        0   {<\n>v}-{y}
       2        0   {<\n>w}-{}
       2        0   {<\n>}-{ é}
       2        0   {<\n>}-{, }
       2        0   {<\n>}-{. }
       2        0   {<\n>}-{é }
       2        0   {AR}-{ÂH}
       2        0   {AV}-{Â}
       2        0   {AW}-{ÂK}
       2        0   {A}-{ a}
       2        0   {A}-{ â}
       2        0   {C(}-{}
       2        0   {C(}-{«}
       2        0   {C(}-{Â}
       2        0   {C}-{ c}
       2        0   {C}-{««}
       2        0   {C}-{Â}
       2        0   {E<\n>}-{}
       2        0   {EW}-{}
       2        0   {GG}-{ ç}
       2        0   {G}-{ a}
       2        0   {I<\n>}-{}
       2        0   {IS}-{W,}
       2        0   {Im}-{ÎM}
       2        0   {K}-{N}
       2        0   {L!}-{ i}
       2        0   {LA}-{Â}
       2        0   {Le}-{ é}
       2        0   {L}-{ t}
       2        0   {L}-{I}
       2        0   {MA}-{}
       2        0   {NA}-{ }
       2        0   {NA}-{}
       2        0   {O}-{ o}
       2        0   {O}-{, }
       2        0   {O}-{o}
       2        0   {P}-{l }
       2        0   {P}-{l’}
       2        0   {Rw}-{HW}
       2        0   {TE}-{I}
       2        0   {U(}-{}
       2        0   {U(}-{«}
       2        0   {UC}-{«}
       2        0   {V}-{Y}
       2        0   {W,}-{, }
       2        0   {W<\n>}-{ }
       2        0   {W}-{ w}
       2        0   {W}-{âw}
       2        0   {a,}-{ }
       2        0   {am}-{AM}
       2        0   {aw}-{AM}
       2        0   {aw}-{AW}
       2        0   {a}-{ â}
       2        0   {a}-{e }
       2        0   {b<\n>}-{t }
       2        0   {bi}-{et}
       2        0   {b}-{l }
       2        0   {cC}-{}
       2        0   {c}-{ é}
       2        0   {c}-{é}
       2        0   {d!}-{ i}
       2        0   {d<\n>}-{ i}
       2        0   {de}-{é}
       2        0   {d}-{ a}
       2        0   {d}-{ l}
       2        0   {d}-{â}
       2        0   {e,}-{é }
       2        0   {e<\n>}-{c }
       2        0   {ea}-{é}
       2        0   {eb}-{év}
       2        0   {er}-{é }
       2        0   {e}-{ i}
       2        0   {e}-{ }
       2        0   {e}-{c }
       2        0   {e}-{lé}
       2        0   {e}-{’é}
       2        0   {gu}-{u’}
       2        0   {i<\n>}-{î}
